Item,SITES (POR REGIÃO/MUNICÍPIO),NOME DO SITE,REFERÊNCIA GEOGRÁFICA,,SISTEMA,STATUS,CATEGORIA,in/out,VALOR LOCAÇÃO
1,Abdon Batista,,"27°35'24.30""S 51° 3'1.55""O",,VHF,,Primária,indoor,
2,Abelardo Luz,,"26°31'2.85""S 52°20'11.05""O",,VHF,,Primária,indoor,
3,Anita Garibaldi,,"27°41'19.08""S  51° 7'36.98""O",,VHF,,Primária,indoor,
4,Braço do Norte,,"28°18'9.93""S  49° 7'28.15""O",,VHF,,Primária,indoor,
5,Caçador,,"26°46'13.53""S  51° 3'22.47""O",,VHF,,Primária,indoor,
6,Caibi,,"27° 4'6.97""S  53°15'49.57""O",,VHF,,Primária,indoor,
7,Campo Alegre,,"26°01'52""S  48°58'54""W",,VHF,"PMSC Abrigo e torre PM, não sei se existe convênio com proprietário do terreno",Primária,indoor,
8,Campo Belo do Sul,,"27°53'50.00""S  50°45'14.00""O",,VHF,,Primária,indoor,
9,Campo Erê,,"26°23'37.07""S  53° 5'23.92""O",,VHF,,Primária,indoor,
10,Campos Novos,,"27°13'11""S  51°07'51""W",,VHF,,Primária,indoor,
11,Canoinhas,,"26°11'59.20""S  50°26'8.00""O",,VHF,,Primária,indoor,
12,Capinzal,,"26°58'50.04""S  51°34'49.03""O",,VHF,,Primária,indoor,
13,Catanduvas,,"26°58'50.04""S  51°47'43.72""O",,VHF,,Primária,indoor,
14,Celso Ramos,,"27°38'3.27""S  51°20'17.94""O",,VHF,Prefeitura,Primária,indoor,
15,Chapecó 1,,"27° 7'9.19""S  52°35'12.43""O",,VHF,Massa FM,Primária,indoor,
16,Chapecó 2,,"27° 7'9.19""S  52°35'12.43""O",,VHF,Massa FM,Primária,indoor,
17,Concórdia,,"27°12'23.68""S  52° 2'9.41""O",,VHF,,Primária,indoor,
18,Curitibanos,,"27°18'23.54""S  50°34'8.10""O",,VHF,,Primária,indoor,
19,Cunha Porã,,"26°51'51.0""S  53°12'40.00""O",,VHF,,Primária,indoor,
20,Dionísio Cerqueira,,"26°16'26.15""S  53°37'58.71""O",,VHF,,Primária,indoor,
21,Fraiburgo,,"27° 2'50.95""S  50°56'20.25""O",,VHF,,Primária,indoor,
22,Herval do Oeste,,"51°31'21.44""O",,VHF,,Primária,indoor,
23,Ibirama,,"27° 4'45.20""S  49°34'30.81""O",,VHF, ,Primária,indoor,
24,Içara,,"28°50'38.00""S  49°23'55.00""O",,VHF,,Primária,indoor,
25,Imbuia,,"27°28'35.34""S  49°24'59.99""O",,VHF,,Primária,indoor,
26,Iomere / Videira,,"27° 0'23.74""S  51°18'2.88""O",,VHF,Locação com o Sr. Andre Hackbarth,Primária,indoor,R$650
27,Iporã do Oeste,,"26°59'34.29""S  53°31'48.18""O",,VHF,,Primária,indoor,
28,Ipumirim,,"27°04'35.47""S  52°07'56.88""O",,VHF,,Primária,indoor,
29,Itá,,"27°16'56.83""S  52°21'36.43""O",,VHF,,Primária,indoor,
30,Itaiópolis,,"26°23'37.92""S  49°54'36.27""O",,VHF,,Primária,indoor,
31,Itapiranga,,"27° 9'33.65""S  53°42'51.00""O",,VHF,,Primária,indoor,
